risk_factor,associated_condition,weight,is_modifiable,risk_type,recommended_action
Kidney Disease History,Cancer,Medium,Yes,Environmental,High Monitoring
Kidney Disease History,Cancer,High,No,Medical,Immediate Attention
Kidney Disease History,Cancer,Critical,Yes,Lifestyle,Preventive
Kidney Disease History,Obesity,Low,No,Genetic,Moderate Monitoring
Kidney Disease History,Obesity,Medium,Yes,Environmental,High Monitoring
Kidney Disease History,Obesity,High,No,Medical,Immediate Attention
Kidney Disease History,Obesity,Critical,Yes,Lifestyle,Preventive
Kidney Disease History,Depression,Low,No,Genetic,Moderate Monitoring
Kidney Disease History,Depression,Medium,Yes,Environmental,High Monitoring
Kidney Disease History,Depression,High,No,Medical,Immediate Attention
Kidney Disease History,Depression,Critical,Yes,Lifestyle,Preventive
Kidney Disease History,Anxiety,Low,No,Genetic,Moderate Monitoring
Kidney Disease History,Anxiety,Medium,Yes,Environmental,High Monitoring
Kidney Disease History,Anxiety,High,No,Medical,Immediate Attention
Kidney Disease History,Anxiety,Critical,Yes,Lifestyle,Preventive
Kidney Disease History,Infection Risk,Low,No,Genetic,Moderate Monitoring
Kidney Disease History,Infection Risk,Medium,Yes,Environmental,High Monitoring
Kidney Disease History,Infection Risk,High,No,Medical,Immediate Attention
Kidney Disease History,Infection Risk,Critical,Yes,Lifestyle,Preventive
Kidney Disease History,Metabolic Disorder,Low,No,Genetic,Moderate Monitoring
Kidney Disease History,Metabolic Disorder,Medium,Yes,Environmental,High Monitoring
Kidney Disease History,Metabolic Disorder,High,No,Medical,Immediate Attention
Kidney Disease History,Metabolic Disorder,Critical,Yes,Lifestyle,Preventive
Kidney Disease History,Autoimmune Disease,Low,No,Genetic,Moderate Monitoring
Kidney Disease History,Autoimmune Disease,Medium,Yes,Environmental,High Monitoring
Kidney Disease History,Autoimmune Disease,High,No,Medical,Immediate Attention
Kidney Disease History,Autoimmune Disease,Critical,Yes,Lifestyle,Preventive
Kidney Disease History,Hormonal Disorder,Low,No,Genetic,Moderate Monitoring
Kidney Disease History,Hormonal Disorder,Medium,Yes,Environmental,High Monitoring
Kidney Disease History,Hormonal Disorder,High,No,Medical,Immediate Attention
Kidney Disease History,Hormonal Disorder,Critical,Yes,Lifestyle,Preventive
Liver Disease History,Heart Disease,Low,No,Genetic,Moderate Monitoring
Liver Disease History,Heart Disease,Medium,Yes,Environmental,High Monitoring
Liver Disease History,Heart Disease,High,No,Medical,Immediate Attention
Liver Disease History,Heart Disease,Critical,Yes,Lifestyle,Preventive
Liver Disease History,Diabetes,Low,No,Genetic,Moderate Monitoring
Liver Disease History,Diabetes,Medium,Yes,Environmental,High Monitoring
Liver Disease History,Diabetes,High,No,Medical,Immediate Attention
Liver Disease History,Diabetes,Critical,Yes,Lifestyle,Preventive
Liver Disease History,Hypertension,Low,No,Genetic,Moderate Monitoring
Liver Disease History,Hypertension,Medium,Yes,Environmental,High Monitoring
Liver Disease History,Hypertension,High,No,Medical,Immediate Attention
Liver Disease History,Hypertension,Critical,Yes,Lifestyle,Preventive
Liver Disease History,Stroke,Low,No,Genetic,Moderate Monitoring
Liver Disease History,Stroke,Medium,Yes,Environmental,High Monitoring
Liver Disease History,Stroke,High,No,Medical,Immediate Attention
Liver Disease History,Stroke,Critical,Yes,Lifestyle,Preventive
Liver Disease History,Kidney Disease,Low,No,Genetic,Moderate Monitoring
Liver Disease History,Kidney Disease,Medium,Yes,Environmental,High Monitoring
Liver Disease History,Kidney Disease,High,No,Medical,Immediate Attention
Liver Disease History,Kidney Disease,Critical,Yes,Lifestyle,Preventive
Liver Disease History,Liver Disease,Low,No,Genetic,Moderate Monitoring
Liver Disease History,Liver Disease,Medium,Yes,Environmental,High Monitoring
Liver Disease History,Liver Disease,High,No,Medical,Immediate Attention
Liver Disease History,Liver Disease,Critical,Yes,Lifestyle,Preventive
Liver Disease History,Respiratory Disorder,Low,No,Genetic,Moderate Monitoring
Liver Disease History,Respiratory Disorder,Medium,Yes,Environmental,High Monitoring
Liver Disease History,Respiratory Disorder,High,No,Medical,Immediate Attention
Liver Disease History,Respiratory Disorder,Critical,Yes,Lifestyle,Preventive
Liver Disease History,Cancer,Low,No,Genetic,Moderate Monitoring
Liver Disease History,Cancer,Medium,Yes,Environmental,High Monitoring
Liver Disease History,Cancer,High,No,Medical,Immediate Attention
Liver Disease History,Cancer,Critical,Yes,Lifestyle,Preventive
Liver Disease History,Obesity,Low,No,Genetic,Moderate Monitoring
Liver Disease History,Obesity,Medium,Yes,Environmental,High Monitoring
Liver Disease History,Obesity,High,No,Medical,Immediate Attention
Liver Disease History,Obesity,Critical,Yes,Lifestyle,Preventive
Liver Disease History,Depression,Low,No,Genetic,Moderate Monitoring
Liver Disease History,Depression,Medium,Yes,Environmental,High Monitoring
Liver Disease History,Depression,High,No,Medical,Immediate Attention
Liver Disease History,Depression,Critical,Yes,Lifestyle,Preventive
Liver Disease History,Anxiety,Low,No,Genetic,Moderate Monitoring
Liver Disease History,Anxiety,Medium,Yes,Environmental,High Monitoring
Liver Disease History,Anxiety,High,No,Medical,Immediate Attention
Liver Disease History,Anxiety,Critical,Yes,Lifestyle,Preventive
Liver Disease History,Infection Risk,Low,No,Genetic,Moderate Monitoring
Liver Disease History,Infection Risk,Medium,Yes,Environmental,High Monitoring
Liver Disease History,Infection Risk,High,No,Medical,Immediate Attention
Liver Disease History,Infection Risk,Critical,Yes,Lifestyle,Preventive
Liver Disease History,Metabolic Disorder,Low,No,Genetic,Moderate Monitoring
Liver Disease History,Metabolic Disorder,Medium,Yes,Environmental,High Monitoring
Liver Disease History,Metabolic Disorder,High,No,Medical,Immediate Attention
Liver Disease History,Metabolic Disorder,Critical,Yes,Lifestyle,Preventive
Liver Disease History,Autoimmune Disease,Low,No,Genetic,Moderate Monitoring
Liver Disease History,Autoimmune Disease,Medium,Yes,Environmental,High Monitoring
Liver Disease History,Autoimmune Disease,High,No,Medical,Immediate Attention
Liver Disease History,Autoimmune Disease,Critical,Yes,Lifestyle,Preventive
Liver Disease History,Hormonal Disorder,Low,No,Genetic,Moderate Monitoring
Liver Disease History,Hormonal Disorder,Medium,Yes,Environmental,High Monitoring
Liver Disease History,Hormonal Disorder,High,No,Medical,Immediate Attention
Liver Disease History,Hormonal Disorder,Critical,Yes,Lifestyle,Preventive
Cardiac History,Heart Disease,Low,No,Genetic,Moderate Monitoring
Cardiac History,Heart Disease,Medium,Yes,Environmental,High Monitoring
Cardiac History,Heart Disease,High,No,Medical,Immediate Attention
Cardiac History,Heart Disease,Critical,Yes,Lifestyle,Preventive
Cardiac History,Diabetes,Low,No,Genetic,Moderate Monitoring
Cardiac History,Diabetes,Medium,Yes,Environmental,High Monitoring
Cardiac History,Diabetes,High,No,Medical,Immediate Attention
Cardiac History,Diabetes,Critical,Yes,Lifestyle,Preventive
Cardiac History,Hypertension,Low,No,Genetic,Moderate Monitoring
Cardiac History,Hypertension,Medium,Yes,Environmental,High Monitoring
Cardiac History,Hypertension,High,No,Medical,Immediate Attention
Cardiac History,Hypertension,Critical,Yes,Lifestyle,Preventive
Cardiac History,Stroke,Low,No,Genetic,Moderate Monitoring
Cardiac History,Stroke,Medium,Yes,Environmental,High Monitoring
Cardiac History,Stroke,High,No,Medical,Immediate Attention
Cardiac History,Stroke,Critical,Yes,Lifestyle,Preventive
Cardiac History,Kidney Disease,Low,No,Genetic,Moderate Monitoring
Cardiac History,Kidney Disease,Medium,Yes,Environmental,High Monitoring
Cardiac History,Kidney Disease,High,No,Medical,Immediate Attention
Cardiac History,Kidney Disease,Critical,Yes,Lifestyle,Preventive
Cardiac History,Liver Disease,Low,No,Genetic,Moderate Monitoring
Cardiac History,Liver Disease,Medium,Yes,Environmental,High Monitoring
Cardiac History,Liver Disease,High,No,Medical,Immediate Attention
Cardiac History,Liver Disease,Critical,Yes,Lifestyle,Preventive
Cardiac History,Respiratory Disorder,Low,No,Genetic,Moderate Monitoring
Cardiac History,Respiratory Disorder,Medium,Yes,Environmental,High Monitoring
Cardiac History,Respiratory Disorder,High,No,Medical,Immediate Attention
Cardiac History,Respiratory Disorder,Critical,Yes,Lifestyle,Preventive
Cardiac History,Cancer,Low,No,Genetic,Moderate Monitoring
Cardiac History,Cancer,Medium,Yes,Environmental,High Monitoring
Cardiac History,Cancer,High,No,Medical,Immediate Attention
Cardiac History,Cancer,Critical,Yes,Lifestyle,Preventive
Cardiac History,Obesity,Low,No,Genetic,Moderate Monitoring
Cardiac History,Obesity,Medium,Yes,Environmental,High Monitoring
Cardiac History,Obesity,High,No,Medical,Immediate Attention
Cardiac History,Obesity,Critical,Yes,Lifestyle,Preventive
Cardiac History,Depression,Low,No,Genetic,Moderate Monitoring
Cardiac History,Depression,Medium,Yes,Environmental,High Monitoring
Cardiac History,Depression,High,No,Medical,Immediate Attention
Cardiac History,Depression,Critical,Yes,Lifestyle,Preventive
Cardiac History,Anxiety,Low,No,Genetic,Moderate Monitoring
Cardiac History,Anxiety,Medium,Yes,Environmental,High Monitoring
Cardiac History,Anxiety,High,No,Medical,Immediate Attention
Cardiac History,Anxiety,Critical,Yes,Lifestyle,Preventive
Cardiac History,Infection Risk,Low,No,Genetic,Moderate Monitoring
Cardiac History,Infection Risk,Medium,Yes,Environmental,High Monitoring
Cardiac History,Infection Risk,High,No,Medical,Immediate Attention
Cardiac History,Infection Risk,Critical,Yes,Lifestyle,Preventive
Cardiac History,Metabolic Disorder,Low,No,Genetic,Moderate Monitoring
Cardiac History,Metabolic Disorder,Medium,Yes,Environmental,High Monitoring
Cardiac History,Metabolic Disorder,High,No,Medical,Immediate Attention
Cardiac History,Metabolic Disorder,Critical,Yes,Lifestyle,Preventive
Cardiac History,Autoimmune Disease,Low,No,Genetic,Moderate Monitoring
Cardiac History,Autoimmune Disease,Medium,Yes,Environmental,High Monitoring
Cardiac History,Autoimmune Disease,High,No,Medical,Immediate Attention
Cardiac History,Autoimmune Disease,Critical,Yes,Lifestyle,Preventive
Cardiac History,Hormonal Disorder,Low,No,Genetic,Moderate Monitoring
Cardiac History,Hormonal Disorder,Medium,Yes,Environmental,High Monitoring
Cardiac History,Hormonal Disorder,High,No,Medical,Immediate Attention
Cardiac History,Hormonal Disorder,Critical,Yes,Lifestyle,Preventive
Autoimmune History,Heart Disease,Low,No,Genetic,Moderate Monitoring
Autoimmune History,Heart Disease,Medium,Yes,Environmental,High Monitoring
Autoimmune History,Heart Disease,High,No,Medical,Immediate Attention
Autoimmune History,Heart Disease,Critical,Yes,Lifestyle,Preventive
Autoimmune History,Diabetes,Low,No,Genetic,Moderate Monitoring
Autoimmune History,Diabetes,Medium,Yes,Environmental,High Monitoring
Autoimmune History,Diabetes,High,No,Medical,Immediate Attention
Autoimmune History,Diabetes,Critical,Yes,Lifestyle,Preventive
Autoimmune History,Hypertension,Low,No,Genetic,Moderate Monitoring
Autoimmune History,Hypertension,Medium,Yes,Environmental,High Monitoring
Autoimmune History,Hypertension,High,No,Medical,Immediate Attention
Autoimmune History,Hypertension,Critical,Yes,Lifestyle,Preventive
Autoimmune History,Stroke,Low,No,Genetic,Moderate Monitoring
Autoimmune History,Stroke,Medium,Yes,Environmental,High Monitoring
Autoimmune History,Stroke,High,No,Medical,Immediate Attention
Autoimmune History,Stroke,Critical,Yes,Lifestyle,Preventive
Autoimmune History,Kidney Disease,Low,No,Genetic,Moderate Monitoring
Autoimmune History,Kidney Disease,Medium,Yes,Environmental,High Monitoring
Autoimmune History,Kidney Disease,High,No,Medical,Immediate Attention
Autoimmune History,Kidney Disease,Critical,Yes,Lifestyle,Preventive
Autoimmune History,Liver Disease,Low,No,Genetic,Moderate Monitoring
Autoimmune History,Liver Disease,Medium,Yes,Environmental,High Monitoring
Autoimmune History,Liver Disease,High,No,Medical,Immediate Attention
Autoimmune History,Liver Disease,Critical,Yes,Lifestyle,Preventive
Autoimmune History,Respiratory Disorder,Low,No,Genetic,Moderate Monitoring
Autoimmune History,Respiratory Disorder,Medium,Yes,Environmental,High Monitoring
Autoimmune History,Respiratory Disorder,High,No,Medical,Immediate Attention
Autoimmune History,Respiratory Disorder,Critical,Yes,Lifestyle,Preventive
Autoimmune History,Cancer,Low,No,Genetic,Moderate Monitoring
Autoimmune History,Cancer,Medium,Yes,Environmental,High Monitoring
Autoimmune History,Cancer,High,No,Medical,Immediate Attention
Autoimmune History,Cancer,Critical,Yes,Lifestyle,Preventive
Autoimmune History,Obesity,Low,No,Genetic,Moderate Monitoring
Autoimmune History,Obesity,Medium,Yes,Environmental,High Monitoring
Autoimmune History,Obesity,High,No,Medical,Immediate Attention
Autoimmune History,Obesity,Critical,Yes,Lifestyle,Preventive
Autoimmune History,Depression,Low,No,Genetic,Moderate Monitoring
Autoimmune History,Depression,Medium,Yes,Environmental,High Monitoring
Autoimmune History,Depression,High,No,Medical,Immediate Attention
Autoimmune History,Depression,Critical,Yes,Lifestyle,Preventive
Autoimmune History,Anxiety,Low,No,Genetic,Moderate Monitoring
Autoimmune History,Anxiety,Medium,Yes,Environmental,High Monitoring
Autoimmune History,Anxiety,High,No,Medical,Immediate Attention
Autoimmune History,Anxiety,Critical,Yes,Lifestyle,Preventive
Autoimmune History,Infection Risk,Low,No,Genetic,Moderate Monitoring
Autoimmune History,Infection Risk,Medium,Yes,Environmental,High Monitoring
Autoimmune History,Infection Risk,High,No,Medical,Immediate Attention
Autoimmune History,Infection Risk,Critical,Yes,Lifestyle,Preventive
Autoimmune History,Metabolic Disorder,Low,No,Genetic,Moderate Monitoring
Autoimmune History,Metabolic Disorder,Medium,Yes,Environmental,High Monitoring
Autoimmune History,Metabolic Disorder,High,No,Medical,Immediate Attention
Autoimmune History,Metabolic Disorder,Critical,Yes,Lifestyle,Preventive
Autoimmune History,Autoimmune Disease,Low,No,Genetic,Moderate Monitoring
Autoimmune History,Autoimmune Disease,Medium,Yes,Environmental,High Monitoring
Autoimmune History,Autoimmune Disease,High,No,Medical,Immediate Attention
Autoimmune History,Autoimmune Disease,Critical,Yes,Lifestyle,Preventive
Autoimmune History,Hormonal Disorder,Low,No,Genetic,Moderate Monitoring
Autoimmune History,Hormonal Disorder,Medium,Yes,Environmental,High Monitoring
Autoimmune History,Hormonal Disorder,High,No,Medical,Immediate Attention
Autoimmune History,Hormonal Disorder,Critical,Yes,Lifestyle,Preventive
Cancer History,Heart Disease,Low,No,Genetic,Moderate Monitoring
Cancer History,Heart Disease,Medium,Yes,Environmental,High Monitoring
Cancer History,Heart Disease,High,No,Medical,Immediate Attention
Cancer History,Heart Disease,Critical,Yes,Lifestyle,Preventive
Cancer History,Diabetes,Low,No,Genetic,Moderate Monitoring
Cancer History,Diabetes,Medium,Yes,Environmental,High Monitoring
Cancer History,Diabetes,High,No,Medical,Immediate Attention
Cancer History,Diabetes,Critical,Yes,Lifestyle,Preventive
Cancer History,Hypertension,Low,No,Genetic,Moderate Monitoring
Cancer History,Hypertension,Medium,Yes,Environmental,High Monitoring
Cancer History,Hypertension,High,No,Medical,Immediate Attention
Cancer History,Hypertension,Critical,Yes,Lifestyle,Preventive
Cancer History,Stroke,Low,No,Genetic,Moderate Monitoring
Cancer History,Stroke,Medium,Yes,Environmental,High Monitoring
Cancer History,Stroke,High,No,Medical,Immediate Attention
Cancer History,Stroke,Critical,Yes,Lifestyle,Preventive
Cancer History,Kidney Disease,Low,No,Genetic,Moderate Monitoring
Cancer History,Kidney Disease,Medium,Yes,Environmental,High Monitoring
Cancer History,Kidney Disease,High,No,Medical,Immediate Attention
Cancer History,Kidney Disease,Critical,Yes,Lifestyle,Preventive
Cancer History,Liver Disease,Low,No,Genetic,Moderate Monitoring
Cancer History,Liver Disease,Medium,Yes,Environmental,High Monitoring
Cancer History,Liver Disease,High,No,Medical,Immediate Attention
Cancer History,Liver Disease,Critical,Yes,Lifestyle,Preventive
Cancer History,Respiratory Disorder,Low,No,Genetic,Moderate Monitoring
Cancer History,Respiratory Disorder,Medium,Yes,Environmental,High Monitoring
Cancer History,Respiratory Disorder,High,No,Medical,Immediate Attention
Cancer History,Respiratory Disorder,Critical,Yes,Lifestyle,Preventive
Cancer History,Cancer,Low,No,Genetic,Moderate Monitoring
Cancer History,Cancer,Medium,Yes,Environmental,High Monitoring
Cancer History,Cancer,High,No,Medical,Immediate Attention
Cancer History,Cancer,Critical,Yes,Lifestyle,Preventive
Cancer History,Obesity,Low,No,Genetic,Moderate Monitoring
Cancer History,Obesity,Medium,Yes,Environmental,High Monitoring
Cancer History,Obesity,High,No,Medical,Immediate Attention
Cancer History,Obesity,Critical,Yes,Lifestyle,Preventive
Cancer History,Depression,Low,No,Genetic,Moderate Monitoring
Cancer History,Depression,Medium,Yes,Environmental,High Monitoring
Cancer History,Depression,High,No,Medical,Immediate Attention
Cancer History,Depression,Critical,Yes,Lifestyle,Preventive
Cancer History,Anxiety,Low,No,Genetic,Moderate Monitoring
Cancer History,Anxiety,Medium,Yes,Environmental,High Monitoring
Cancer History,Anxiety,High,No,Medical,Immediate Attention
Cancer History,Anxiety,Critical,Yes,Lifestyle,Preventive
Cancer History,Infection Risk,Low,No,Genetic,Moderate Monitoring
Cancer History,Infection Risk,Medium,Yes,Environmental,High Monitoring
Cancer History,Infection Risk,High,No,Medical,Immediate Attention
Cancer History,Infection Risk,Critical,Yes,Lifestyle,Preventive
Cancer History,Metabolic Disorder,Low,No,Genetic,Moderate Monitoring
Cancer History,Metabolic Disorder,Medium,Yes,Environmental,High Monitoring
Cancer History,Metabolic Disorder,High,No,Medical,Immediate Attention
Cancer History,Metabolic Disorder,Critical,Yes,Lifestyle,Preventive
Cancer History,Autoimmune Disease,Low,No,Genetic,Moderate Monitoring
Cancer History,Autoimmune Disease,Medium,Yes,Environmental,High Monitoring
Cancer History,Autoimmune Disease,High,No,Medical,Immediate Attention
Cancer History,Autoimmune Disease,Critical,Yes,Lifestyle,Preventive
Cancer History,Hormonal Disorder,Low,No,Genetic,Moderate Monitoring
Cancer History,Hormonal Disorder,Medium,Yes,Environmental,High Monitoring
Cancer History,Hormonal Disorder,High,No,Medical,Immediate Attention
Cancer History,Hormonal Disorder,Critical,Yes,Lifestyle,Preventive
Allergy History,Heart Disease,Low,No,Genetic,Moderate Monitoring
Allergy History,Heart Disease,Medium,Yes,Environmental,High Monitoring
Allergy History,Heart Disease,High,No,Medical,Immediate Attention
Allergy History,Heart Disease,Critical,Yes,Lifestyle,Preventive
Allergy History,Diabetes,Low,No,Genetic,Moderate Monitoring
Allergy History,Diabetes,Medium,Yes,Environmental,High Monitoring
Allergy History,Diabetes,High,No,Medical,Immediate Attention
Allergy History,Diabetes,Critical,Yes,Lifestyle,Preventive
Allergy History,Hypertension,Low,No,Genetic,Moderate Monitoring
Allergy History,Hypertension,Medium,Yes,Environmental,High Monitoring
Allergy History,Hypertension,High,No,Medical,Immediate Attention
Allergy History,Hypertension,Critical,Yes,Lifestyle,Preventive
Allergy History,Stroke,Low,No,Genetic,Moderate Monitoring
Allergy History,Stroke,Medium,Yes,Environmental,High Monitoring
Allergy History,Stroke,High,No,Medical,Immediate Attention
Allergy History,Stroke,Critical,Yes,Lifestyle,Preventive
Allergy History,Kidney Disease,Low,No,Genetic,Moderate Monitoring
Allergy History,Kidney Disease,Medium,Yes,Environmental,High Monitoring
Allergy History,Kidney Disease,High,No,Medical,Immediate Attention
Allergy History,Kidney Disease,Critical,Yes,Lifestyle,Preventive
Allergy History,Liver Disease,Low,No,Genetic,Moderate Monitoring
Allergy History,Liver Disease,Medium,Yes,Environmental,High Monitoring
Allergy History,Liver Disease,High,No,Medical,Immediate Attention
Allergy History,Liver Disease,Critical,Yes,Lifestyle,Preventive
Allergy History,Respiratory Disorder,Low,No,Genetic,Moderate Monitoring
Allergy History,Respiratory Disorder,Medium,Yes,Environmental,High Monitoring
Allergy History,Respiratory Disorder,High,No,Medical,Immediate Attention
Allergy History,Respiratory Disorder,Critical,Yes,Lifestyle,Preventive
Allergy History,Cancer,Low,No,Genetic,Moderate Monitoring
Allergy History,Cancer,Medium,Yes,Environmental,High Monitoring
Allergy History,Cancer,High,No,Medical,Immediate Attention
Allergy History,Cancer,Critical,Yes,Lifestyle,Preventive
Allergy History,Obesity,Low,No,Genetic,Moderate Monitoring
Allergy History,Obesity,Medium,Yes,Environmental,High Monitoring
Allergy History,Obesity,High,No,Medical,Immediate Attention
Allergy History,Obesity,Critical,Yes,Lifestyle,Preventive
Allergy History,Depression,Low,No,Genetic,Moderate Monitoring
Allergy History,Depression,Medium,Yes,Environmental,High Monitoring
Allergy History,Depression,High,No,Medical,Immediate Attention
Allergy History,Depression,Critical,Yes,Lifestyle,Preventive
Allergy History,Anxiety,Low,No,Genetic,Moderate Monitoring
Allergy History,Anxiety,Medium,Yes,Environmental,High Monitoring
Allergy History,Anxiety,High,No,Medical,Immediate Attention
Allergy History,Anxiety,Critical,Yes,Lifestyle,Preventive
Allergy History,Infection Risk,Low,No,Genetic,Moderate Monitoring
Allergy History,Infection Risk,Medium,Yes,Environmental,High Monitoring
Allergy History,Infection Risk,High,No,Medical,Immediate Attention
Allergy History,Infection Risk,Critical,Yes,Lifestyle,Preventive
Allergy History,Metabolic Disorder,Low,No,Genetic,Moderate Monitoring
Allergy History,Metabolic Disorder,Medium,Yes,Environmental,High Monitoring
Allergy History,Metabolic Disorder,High,No,Medical,Immediate Attention
Allergy History,Metabolic Disorder,Critical,Yes,Lifestyle,Preventive
Allergy History,Autoimmune Disease,Low,No,Genetic,Moderate Monitoring
Allergy History,Autoimmune Disease,Medium,Yes,Environmental,High Monitoring
Allergy History,Autoimmune Disease,High,No,Medical,Immediate Attention
Allergy History,Autoimmune Disease,Critical,Yes,Lifestyle,Preventive
Allergy History,Hormonal Disorder,Low,No,Genetic,Moderate Monitoring
Allergy History,Hormonal Disorder,Medium,Yes,Environmental,High Monitoring
Allergy History,Hormonal Disorder,High,No,Medical,Immediate Attention
Allergy History,Hormonal Disorder,Critical,Yes,Lifestyle,Preventive
Vitamin Deficiency,Heart Disease,Low,No,Genetic,Moderate Monitoring
Vitamin Deficiency,Heart Disease,Medium,Yes,Environmental,High Monitoring
Vitamin Deficiency,Heart Disease,High,No,Medical,Immediate Attention
Vitamin Deficiency,Heart Disease,Critical,Yes,Lifestyle,Preventive
Vitamin Deficiency,Diabetes,Low,No,Genetic,Moderate Monitoring
Vitamin Deficiency,Diabetes,Medium,Yes,Environmental,High Monitoring
Vitamin Deficiency,Diabetes,High,No,Medical,Immediate Attention
Vitamin Deficiency,Diabetes,Critical,Yes,Lifestyle,Preventive
Vitamin Deficiency,Hypertension,Low,No,Genetic,Moderate Monitoring
Vitamin Deficiency,Hypertension,Medium,Yes,Environmental,High Monitoring
Vitamin Deficiency,Hypertension,High,No,Medical,Immediate Attention
Vitamin Deficiency,Hypertension,Critical,Yes,Lifestyle,Preventive
Vitamin Deficiency,Stroke,Low,No,Genetic,Moderate Monitoring
Vitamin Deficiency,Stroke,Medium,Yes,Environmental,High Monitoring
Vitamin Deficiency,Stroke,High,No,Medical,Immediate Attention
Vitamin Deficiency,Stroke,Critical,Yes,Lifestyle,Preventive
Vitamin Deficiency,Kidney Disease,Low,No,Genetic,Moderate Monitoring
Vitamin Deficiency,Kidney Disease,Medium,Yes,Environmental,High Monitoring
Vitamin Deficiency,Kidney Disease,High,No,Medical,Immediate Attention
Vitamin Deficiency,Kidney Disease,Critical,Yes,Lifestyle,Preventive
Vitamin Deficiency,Liver Disease,Low,No,Genetic,Moderate Monitoring
Vitamin Deficiency,Liver Disease,Medium,Yes,Environmental,High Monitoring
Vitamin Deficiency,Liver Disease,High,No,Medical,Immediate Attention
Vitamin Deficiency,Liver Disease,Critical,Yes,Lifestyle,Preventive
Vitamin Deficiency,Respiratory Disorder,Low,No,Genetic,Moderate Monitoring
Vitamin Deficiency,Respiratory Disorder,Medium,Yes,Environmental,High Monitoring
Vitamin Deficiency,Respiratory Disorder,High,No,Medical,Immediate Attention
Vitamin Deficiency,Respiratory Disorder,Critical,Yes,Lifestyle,Preventive
Vitamin Deficiency,Cancer,Low,No,Genetic,Moderate Monitoring
Vitamin Deficiency,Cancer,Medium,Yes,Environmental,High Monitoring
Vitamin Deficiency,Cancer,High,No,Medical,Immediate Attention
Vitamin Deficiency,Cancer,Critical,Yes,Lifestyle,Preventive
Vitamin Deficiency,Obesity,Low,No,Genetic,Moderate Monitoring
Vitamin Deficiency,Obesity,Medium,Yes,Environmental,High Monitoring
Vitamin Deficiency,Obesity,High,No,Medical,Immediate Attention
Vitamin Deficiency,Obesity,Critical,Yes,Lifestyle,Preventive
Vitamin Deficiency,Depression,Low,No,Genetic,Moderate Monitoring
Vitamin Deficiency,Depression,Medium,Yes,Environmental,High Monitoring
Vitamin Deficiency,Depression,High,No,Medical,Immediate Attention
Vitamin Deficiency,Depression,Critical,Yes,Lifestyle,Preventive
Vitamin Deficiency,Anxiety,Low,No,Genetic,Moderate Monitoring
Vitamin Deficiency,Anxiety,Medium,Yes,Environmental,High Monitoring
Vitamin Deficiency,Anxiety,High,No,Medical,Immediate Attention
Vitamin Deficiency,Anxiety,Critical,Yes,Lifestyle,Preventive
Vitamin Deficiency,Infection Risk,Low,No,Genetic,Moderate Monitoring
Vitamin Deficiency,Infection Risk,Medium,Yes,Environmental,High Monitoring
Vitamin Deficiency,Infection Risk,High,No,Medical,Immediate Attention
Vitamin Deficiency,Infection Risk,Critical,Yes,Lifestyle,Preventive
Vitamin Deficiency,Metabolic Disorder,Low,No,Genetic,Moderate Monitoring
Vitamin Deficiency,Metabolic Disorder,Medium,Yes,Environmental,High Monitoring
Vitamin Deficiency,Metabolic Disorder,High,No,Medical,Immediate Attention
Vitamin Deficiency,Metabolic Disorder,Critical,Yes,Lifestyle,Preventive
Vitamin Deficiency,Autoimmune Disease,Low,No,Genetic,Moderate Monitoring
Vitamin Deficiency,Autoimmune Disease,Medium,Yes,Environmental,High Monitoring
Vitamin Deficiency,Autoimmune Disease,High,No,Medical,Immediate Attention
Vitamin Deficiency,Autoimmune Disease,Critical,Yes,Lifestyle,Preventive
Vitamin Deficiency,Hormonal Disorder,Low,No,Genetic,Moderate Monitoring
Vitamin Deficiency,Hormonal Disorder,Medium,Yes,Environmental,High Monitoring
Vitamin Deficiency,Hormonal Disorder,High,No,Medical,Immediate Attention
Vitamin Deficiency,Hormonal Disorder,Critical,Yes,Lifestyle,Preventive
Dehydration,Heart Disease,Low,No,Genetic,Moderate Monitoring
Dehydration,Heart Disease,Medium,Yes,Environmental,High Monitoring
Dehydration,Heart Disease,High,No,Medical,Immediate Attention
Dehydration,Heart Disease,Critical,Yes,Lifestyle,Preventive
Dehydration,Diabetes,Low,No,Genetic,Moderate Monitoring
Dehydration,Diabetes,Medium,Yes,Environmental,High Monitoring
Dehydration,Diabetes,High,No,Medical,Immediate Attention
Dehydration,Diabetes,Critical,Yes,Lifestyle,Preventive
Dehydration,Hypertension,Low,No,Genetic,Moderate Monitoring
Dehydration,Hypertension,Medium,Yes,Environmental,High Monitoring
Dehydration,Hypertension,High,No,Medical,Immediate Attention
Dehydration,Hypertension,Critical,Yes,Lifestyle,Preventive
Dehydration,Stroke,Low,No,Genetic,Moderate Monitoring
Dehydration,Stroke,Medium,Yes,Environmental,High Monitoring
Dehydration,Stroke,High,No,Medical,Immediate Attention
Dehydration,Stroke,Critical,Yes,Lifestyle,Preventive
Dehydration,Kidney Disease,Low,No,Genetic,Moderate Monitoring
Dehydration,Kidney Disease,Medium,Yes,Environmental,High Monitoring
Dehydration,Kidney Disease,High,No,Medical,Immediate Attention
Dehydration,Kidney Disease,Critical,Yes,Lifestyle,Preventive
Dehydration,Liver Disease,Low,No,Genetic,Moderate Monitoring
Dehydration,Liver Disease,Medium,Yes,Environmental,High Monitoring
Dehydration,Liver Disease,High,No,Medical,Immediate Attention
