symptom,follow_up_question,question_type,expected_values,priority,clinical_category,emergency_flag
Frequent Urination,Any emergency warning signs (Variant 2760)?,Emergency Flag,Yes/No,Low,General,No
Excess Thirst,Since how many days (Variant 2761)?,Duration,Numeric,Medium,Respiratory,Yes
Excess Thirst,"Mild, moderate or severe (Variant 2762)?",Severity,Mild/Moderate/Severe,High,Cardiac,No
Excess Thirst,How frequently does it occur (Variant 2763)?,Frequency,Occasional/Frequent,Low,Neurology,Yes
Excess Thirst,When did it start worsening (Variant 2764)?,Progression,Numeric,Medium,GI,No
Excess Thirst,Any associated symptoms present (Variant 2765)?,Associated Symptom,Yes/No,High,Endocrine,Yes
Excess Thirst,Triggered by activity (Variant 2766)?,Trigger,Yes/No,Low,MSK,No
Excess Thirst,Localized or widespread (Variant 2767)?,Location,Localized/Diffuse,Medium,Dermatology,Yes
Excess Thirst,Constant or intermittent (Variant 2768)?,Pattern,Constant/Intermittent,High,Emergency,No
Excess Thirst,Does it affect daily activities (Variant 2769)?,Impact,Yes/No,Low,General,Yes
Excess Thirst,Any emergency warning signs (Variant 2770)?,Emergency Flag,Yes/No,Medium,Respiratory,No
Heat Intolerance,Since how many days (Variant 2771)?,Duration,Numeric,High,Cardiac,Yes
Heat Intolerance,"Mild, moderate or severe (Variant 2772)?",Severity,Mild/Moderate/Severe,Low,Neurology,No
Heat Intolerance,How frequently does it occur (Variant 2773)?,Frequency,Occasional/Frequent,Medium,GI,Yes
Heat Intolerance,When did it start worsening (Variant 2774)?,Progression,Numeric,High,Endocrine,No
Heat Intolerance,Any associated symptoms present (Variant 2775)?,Associated Symptom,Yes/No,Low,MSK,Yes
Heat Intolerance,Triggered by activity (Variant 2776)?,Trigger,Yes/No,Medium,Dermatology,No
Heat Intolerance,Localized or widespread (Variant 2777)?,Location,Localized/Diffuse,High,Emergency,Yes
Heat Intolerance,Constant or intermittent (Variant 2778)?,Pattern,Constant/Intermittent,Low,General,No
Heat Intolerance,Does it affect daily activities (Variant 2779)?,Impact,Yes/No,Medium,Respiratory,Yes
Heat Intolerance,Any emergency warning signs (Variant 2780)?,Emergency Flag,Yes/No,High,Cardiac,No
Cold Intolerance,Since how many days (Variant 2781)?,Duration,Numeric,Low,Neurology,Yes
Cold Intolerance,"Mild, moderate or severe (Variant 2782)?",Severity,Mild/Moderate/Severe,Medium,GI,No
Cold Intolerance,How frequently does it occur (Variant 2783)?,Frequency,Occasional/Frequent,High,Endocrine,Yes
Cold Intolerance,When did it start worsening (Variant 2784)?,Progression,Numeric,Low,MSK,No
Cold Intolerance,Any associated symptoms present (Variant 2785)?,Associated Symptom,Yes/No,Medium,Dermatology,Yes
Cold Intolerance,Triggered by activity (Variant 2786)?,Trigger,Yes/No,High,Emergency,No
Cold Intolerance,Localized or widespread (Variant 2787)?,Location,Localized/Diffuse,Low,General,Yes
Cold Intolerance,Constant or intermittent (Variant 2788)?,Pattern,Constant/Intermittent,Medium,Respiratory,No
Cold Intolerance,Does it affect daily activities (Variant 2789)?,Impact,Yes/No,High,Cardiac,Yes
Cold Intolerance,Any emergency warning signs (Variant 2790)?,Emergency Flag,Yes/No,Low,Neurology,No
Rash,Since how many days (Variant 2791)?,Duration,Numeric,Medium,GI,Yes
Rash,"Mild, moderate or severe (Variant 2792)?",Severity,Mild/Moderate/Severe,High,Endocrine,No
Rash,How frequently does it occur (Variant 2793)?,Frequency,Occasional/Frequent,Low,MSK,Yes
Rash,When did it start worsening (Variant 2794)?,Progression,Numeric,Medium,Dermatology,No
Rash,Any associated symptoms present (Variant 2795)?,Associated Symptom,Yes/No,High,Emergency,Yes
Rash,Triggered by activity (Variant 2796)?,Trigger,Yes/No,Low,General,No
Rash,Localized or widespread (Variant 2797)?,Location,Localized/Diffuse,Medium,Respiratory,Yes
Rash,Constant or intermittent (Variant 2798)?,Pattern,Constant/Intermittent,High,Cardiac,No
Rash,Does it affect daily activities (Variant 2799)?,Impact,Yes/No,Low,Neurology,Yes
Rash,Any emergency warning signs (Variant 2800)?,Emergency Flag,Yes/No,Medium,GI,No
Itching,Since how many days (Variant 2801)?,Duration,Numeric,High,Endocrine,Yes
Itching,"Mild, moderate or severe (Variant 2802)?",Severity,Mild/Moderate/Severe,Low,MSK,No
Itching,How frequently does it occur (Variant 2803)?,Frequency,Occasional/Frequent,Medium,Dermatology,Yes
Itching,When did it start worsening (Variant 2804)?,Progression,Numeric,High,Emergency,No
Itching,Any associated symptoms present (Variant 2805)?,Associated Symptom,Yes/No,Low,General,Yes
Itching,Triggered by activity (Variant 2806)?,Trigger,Yes/No,Medium,Respiratory,No
Itching,Localized or widespread (Variant 2807)?,Location,Localized/Diffuse,High,Cardiac,Yes
Itching,Constant or intermittent (Variant 2808)?,Pattern,Constant/Intermittent,Low,Neurology,No
Itching,Does it affect daily activities (Variant 2809)?,Impact,Yes/No,Medium,GI,Yes
Itching,Any emergency warning signs (Variant 2810)?,Emergency Flag,Yes/No,High,Endocrine,No
Skin Lesions,Since how many days (Variant 2811)?,Duration,Numeric,Low,MSK,Yes
Skin Lesions,"Mild, moderate or severe (Variant 2812)?",Severity,Mild/Moderate/Severe,Medium,Dermatology,No
Skin Lesions,How frequently does it occur (Variant 2813)?,Frequency,Occasional/Frequent,High,Emergency,Yes
Skin Lesions,When did it start worsening (Variant 2814)?,Progression,Numeric,Low,General,No
Skin Lesions,Any associated symptoms present (Variant 2815)?,Associated Symptom,Yes/No,Medium,Respiratory,Yes
Skin Lesions,Triggered by activity (Variant 2816)?,Trigger,Yes/No,High,Cardiac,No
Skin Lesions,Localized or widespread (Variant 2817)?,Location,Localized/Diffuse,Low,Neurology,Yes
Skin Lesions,Constant or intermittent (Variant 2818)?,Pattern,Constant/Intermittent,Medium,GI,No
Skin Lesions,Does it affect daily activities (Variant 2819)?,Impact,Yes/No,High,Endocrine,Yes
Skin Lesions,Any emergency warning signs (Variant 2820)?,Emergency Flag,Yes/No,Low,MSK,No
Hair Loss,Since how many days (Variant 2821)?,Duration,Numeric,Medium,Dermatology,Yes
Hair Loss,"Mild, moderate or severe (Variant 2822)?",Severity,Mild/Moderate/Severe,High,Emergency,No
Hair Loss,How frequently does it occur (Variant 2823)?,Frequency,Occasional/Frequent,Low,General,Yes
Hair Loss,When did it start worsening (Variant 2824)?,Progression,Numeric,Medium,Respiratory,No
Hair Loss,Any associated symptoms present (Variant 2825)?,Associated Symptom,Yes/No,High,Cardiac,Yes
Hair Loss,Triggered by activity (Variant 2826)?,Trigger,Yes/No,Low,Neurology,No
Hair Loss,Localized or widespread (Variant 2827)?,Location,Localized/Diffuse,Medium,GI,Yes
Hair Loss,Constant or intermittent (Variant 2828)?,Pattern,Constant/Intermittent,High,Endocrine,No
Hair Loss,Does it affect daily activities (Variant 2829)?,Impact,Yes/No,Low,MSK,Yes
Hair Loss,Any emergency warning signs (Variant 2830)?,Emergency Flag,Yes/No,Medium,Dermatology,No
Insomnia,Since how many days (Variant 2831)?,Duration,Numeric,High,Emergency,Yes
Insomnia,"Mild, moderate or severe (Variant 2832)?",Severity,Mild/Moderate/Severe,Low,General,No
Insomnia,How frequently does it occur (Variant 2833)?,Frequency,Occasional/Frequent,Medium,Respiratory,Yes
Insomnia,When did it start worsening (Variant 2834)?,Progression,Numeric,High,Cardiac,No
Insomnia,Any associated symptoms present (Variant 2835)?,Associated Symptom,Yes/No,Low,Neurology,Yes
Insomnia,Triggered by activity (Variant 2836)?,Trigger,Yes/No,Medium,GI,No
Insomnia,Localized or widespread (Variant 2837)?,Location,Localized/Diffuse,High,Endocrine,Yes
Insomnia,Constant or intermittent (Variant 2838)?,Pattern,Constant/Intermittent,Low,MSK,No
Insomnia,Does it affect daily activities (Variant 2839)?,Impact,Yes/No,Medium,Dermatology,Yes
Insomnia,Any emergency warning signs (Variant 2840)?,Emergency Flag,Yes/No,High,Emergency,No
Anxiety,Since how many days (Variant 2841)?,Duration,Numeric,Low,General,Yes
Anxiety,"Mild, moderate or severe (Variant 2842)?",Severity,Mild/Moderate/Severe,Medium,Respiratory,No
Anxiety,How frequently does it occur (Variant 2843)?,Frequency,Occasional/Frequent,High,Cardiac,Yes
Anxiety,When did it start worsening (Variant 2844)?,Progression,Numeric,Low,Neurology,No
Anxiety,Any associated symptoms present (Variant 2845)?,Associated Symptom,Yes/No,Medium,GI,Yes
Anxiety,Triggered by activity (Variant 2846)?,Trigger,Yes/No,High,Endocrine,No
Anxiety,Localized or widespread (Variant 2847)?,Location,Localized/Diffuse,Low,MSK,Yes
Anxiety,Constant or intermittent (Variant 2848)?,Pattern,Constant/Intermittent,Medium,Dermatology,No
Anxiety,Does it affect daily activities (Variant 2849)?,Impact,Yes/No,High,Emergency,Yes
Anxiety,Any emergency warning signs (Variant 2850)?,Emergency Flag,Yes/No,Low,General,No
Depressed Mood,Since how many days (Variant 2851)?,Duration,Numeric,Medium,Respiratory,Yes
Depressed Mood,"Mild, moderate or severe (Variant 2852)?",Severity,Mild/Moderate/Severe,High,Cardiac,No
Depressed Mood,How frequently does it occur (Variant 2853)?,Frequency,Occasional/Frequent,Low,Neurology,Yes
Depressed Mood,When did it start worsening (Variant 2854)?,Progression,Numeric,Medium,GI,No
Depressed Mood,Any associated symptoms present (Variant 2855)?,Associated Symptom,Yes/No,High,Endocrine,Yes
Depressed Mood,Triggered by activity (Variant 2856)?,Trigger,Yes/No,Low,MSK,No
Depressed Mood,Localized or widespread (Variant 2857)?,Location,Localized/Diffuse,Medium,Dermatology,Yes
Depressed Mood,Constant or intermittent (Variant 2858)?,Pattern,Constant/Intermittent,High,Emergency,No
Depressed Mood,Does it affect daily activities (Variant 2859)?,Impact,Yes/No,Low,General,Yes
Depressed Mood,Any emergency warning signs (Variant 2860)?,Emergency Flag,Yes/No,Medium,Respiratory,No
Irritability,Since how many days (Variant 2861)?,Duration,Numeric,High,Cardiac,Yes
Irritability,"Mild, moderate or severe (Variant 2862)?",Severity,Mild/Moderate/Severe,Low,Neurology,No
Irritability,How frequently does it occur (Variant 2863)?,Frequency,Occasional/Frequent,Medium,GI,Yes
Irritability,When did it start worsening (Variant 2864)?,Progression,Numeric,High,Endocrine,No
Irritability,Any associated symptoms present (Variant 2865)?,Associated Symptom,Yes/No,Low,MSK,Yes
Irritability,Triggered by activity (Variant 2866)?,Trigger,Yes/No,Medium,Dermatology,No
Irritability,Localized or widespread (Variant 2867)?,Location,Localized/Diffuse,High,Emergency,Yes
Irritability,Constant or intermittent (Variant 2868)?,Pattern,Constant/Intermittent,Low,General,No
Irritability,Does it affect daily activities (Variant 2869)?,Impact,Yes/No,Medium,Respiratory,Yes
Irritability,Any emergency warning signs (Variant 2870)?,Emergency Flag,Yes/No,High,Cardiac,No
Ear Pain,Since how many days (Variant 2871)?,Duration,Numeric,Low,Neurology,Yes
Ear Pain,"Mild, moderate or severe (Variant 2872)?",Severity,Mild/Moderate/Severe,Medium,GI,No
Ear Pain,How frequently does it occur (Variant 2873)?,Frequency,Occasional/Frequent,High,Endocrine,Yes
Ear Pain,When did it start worsening (Variant 2874)?,Progression,Numeric,Low,MSK,No
Ear Pain,Any associated symptoms present (Variant 2875)?,Associated Symptom,Yes/No,Medium,Dermatology,Yes
Ear Pain,Triggered by activity (Variant 2876)?,Trigger,Yes/No,High,Emergency,No
Ear Pain,Localized or widespread (Variant 2877)?,Location,Localized/Diffuse,Low,General,Yes
Ear Pain,Constant or intermittent (Variant 2878)?,Pattern,Constant/Intermittent,Medium,Respiratory,No
Ear Pain,Does it affect daily activities (Variant 2879)?,Impact,Yes/No,High,Cardiac,Yes
Ear Pain,Any emergency warning signs (Variant 2880)?,Emergency Flag,Yes/No,Low,Neurology,No
Hearing Loss,Since how many days (Variant 2881)?,Duration,Numeric,Medium,GI,Yes
Hearing Loss,"Mild, moderate or severe (Variant 2882)?",Severity,Mild/Moderate/Severe,High,Endocrine,No
Hearing Loss,How frequently does it occur (Variant 2883)?,Frequency,Occasional/Frequent,Low,MSK,Yes
Hearing Loss,When did it start worsening (Variant 2884)?,Progression,Numeric,Medium,Dermatology,No
Hearing Loss,Any associated symptoms present (Variant 2885)?,Associated Symptom,Yes/No,High,Emergency,Yes
Hearing Loss,Triggered by activity (Variant 2886)?,Trigger,Yes/No,Low,General,No
Hearing Loss,Localized or widespread (Variant 2887)?,Location,Localized/Diffuse,Medium,Respiratory,Yes
Hearing Loss,Constant or intermittent (Variant 2888)?,Pattern,Constant/Intermittent,High,Cardiac,No
Hearing Loss,Does it affect daily activities (Variant 2889)?,Impact,Yes/No,Low,Neurology,Yes
Hearing Loss,Any emergency warning signs (Variant 2890)?,Emergency Flag,Yes/No,Medium,GI,No
Neck Pain,Since how many days (Variant 2891)?,Duration,Numeric,High,Endocrine,Yes
Neck Pain,"Mild, moderate or severe (Variant 2892)?",Severity,Mild/Moderate/Severe,Low,MSK,No
Neck Pain,How frequently does it occur (Variant 2893)?,Frequency,Occasional/Frequent,Medium,Dermatology,Yes
Neck Pain,When did it start worsening (Variant 2894)?,Progression,Numeric,High,Emergency,No
Neck Pain,Any associated symptoms present (Variant 2895)?,Associated Symptom,Yes/No,Low,General,Yes
Neck Pain,Triggered by activity (Variant 2896)?,Trigger,Yes/No,Medium,Respiratory,No
Neck Pain,Localized or widespread (Variant 2897)?,Location,Localized/Diffuse,High,Cardiac,Yes
Neck Pain,Constant or intermittent (Variant 2898)?,Pattern,Constant/Intermittent,Low,Neurology,No
Neck Pain,Does it affect daily activities (Variant 2899)?,Impact,Yes/No,Medium,GI,Yes
Neck Pain,Any emergency warning signs (Variant 2900)?,Emergency Flag,Yes/No,High,Endocrine,No
Pelvic Pain,Since how many days (Variant 2901)?,Duration,Numeric,Low,MSK,Yes
Pelvic Pain,"Mild, moderate or severe (Variant 2902)?",Severity,Mild/Moderate/Severe,Medium,Dermatology,No
Pelvic Pain,How frequently does it occur (Variant 2903)?,Frequency,Occasional/Frequent,High,Emergency,Yes
Pelvic Pain,When did it start worsening (Variant 2904)?,Progression,Numeric,Low,General,No
Pelvic Pain,Any associated symptoms present (Variant 2905)?,Associated Symptom,Yes/No,Medium,Respiratory,Yes
Pelvic Pain,Triggered by activity (Variant 2906)?,Trigger,Yes/No,High,Cardiac,No
Pelvic Pain,Localized or widespread (Variant 2907)?,Location,Localized/Diffuse,Low,Neurology,Yes
Pelvic Pain,Constant or intermittent (Variant 2908)?,Pattern,Constant/Intermittent,Medium,GI,No
Pelvic Pain,Does it affect daily activities (Variant 2909)?,Impact,Yes/No,High,Endocrine,Yes
Pelvic Pain,Any emergency warning signs (Variant 2910)?,Emergency Flag,Yes/No,Low,MSK,No
Menstrual Irregularity,Since how many days (Variant 2911)?,Duration,Numeric,Medium,Dermatology,Yes
Menstrual Irregularity,"Mild, moderate or severe (Variant 2912)?",Severity,Mild/Moderate/Severe,High,Emergency,No
Menstrual Irregularity,How frequently does it occur (Variant 2913)?,Frequency,Occasional/Frequent,Low,General,Yes
Menstrual Irregularity,When did it start worsening (Variant 2914)?,Progression,Numeric,Medium,Respiratory,No
Menstrual Irregularity,Any associated symptoms present (Variant 2915)?,Associated Symptom,Yes/No,High,Cardiac,Yes
Menstrual Irregularity,Triggered by activity (Variant 2916)?,Trigger,Yes/No,Low,Neurology,No
Menstrual Irregularity,Localized or widespread (Variant 2917)?,Location,Localized/Diffuse,Medium,GI,Yes
Menstrual Irregularity,Constant or intermittent (Variant 2918)?,Pattern,Constant/Intermittent,High,Endocrine,No
Menstrual Irregularity,Does it affect daily activities (Variant 2919)?,Impact,Yes/No,Low,MSK,Yes
Menstrual Irregularity,Any emergency warning signs (Variant 2920)?,Emergency Flag,Yes/No,Medium,Dermatology,No
Burning Urination,Since how many days (Variant 2921)?,Duration,Numeric,High,Emergency,Yes
Burning Urination,"Mild, moderate or severe (Variant 2922)?",Severity,Mild/Moderate/Severe,Low,General,No
Burning Urination,How frequently does it occur (Variant 2923)?,Frequency,Occasional/Frequent,Medium,Respiratory,Yes
Burning Urination,When did it start worsening (Variant 2924)?,Progression,Numeric,High,Cardiac,No
Burning Urination,Any associated symptoms present (Variant 2925)?,Associated Symptom,Yes/No,Low,Neurology,Yes
Burning Urination,Triggered by activity (Variant 2926)?,Trigger,Yes/No,Medium,GI,No
Burning Urination,Localized or widespread (Variant 2927)?,Location,Localized/Diffuse,High,Endocrine,Yes
Burning Urination,Constant or intermittent (Variant 2928)?,Pattern,Constant/Intermittent,Low,MSK,No
Burning Urination,Does it affect daily activities (Variant 2929)?,Impact,Yes/No,Medium,Dermatology,Yes
Burning Urination,Any emergency warning signs (Variant 2930)?,Emergency Flag,Yes/No,High,Emergency,No
Blood in Urine,Since how many days (Variant 2931)?,Duration,Numeric,Low,General,Yes
Blood in Urine,"Mild, moderate or severe (Variant 2932)?",Severity,Mild/Moderate/Severe,Medium,Respiratory,No
Blood in Urine,How frequently does it occur (Variant 2933)?,Frequency,Occasional/Frequent,High,Cardiac,Yes
Blood in Urine,When did it start worsening (Variant 2934)?,Progression,Numeric,Low,Neurology,No
Blood in Urine,Any associated symptoms present (Variant 2935)?,Associated Symptom,Yes/No,Medium,GI,Yes
Blood in Urine,Triggered by activity (Variant 2936)?,Trigger,Yes/No,High,Endocrine,No
Blood in Urine,Localized or widespread (Variant 2937)?,Location,Localized/Diffuse,Low,MSK,Yes
Blood in Urine,Constant or intermittent (Variant 2938)?,Pattern,Constant/Intermittent,Medium,Dermatology,No
Blood in Urine,Does it affect daily activities (Variant 2939)?,Impact,Yes/No,High,Emergency,Yes
Blood in Urine,Any emergency warning signs (Variant 2940)?,Emergency Flag,Yes/No,Low,General,No
Swollen Lymph Nodes,Since how many days (Variant 2941)?,Duration,Numeric,Medium,Respiratory,Yes
Swollen Lymph Nodes,"Mild, moderate or severe (Variant 2942)?",Severity,Mild/Moderate/Severe,High,Cardiac,No
Swollen Lymph Nodes,How frequently does it occur (Variant 2943)?,Frequency,Occasional/Frequent,Low,Neurology,Yes
Swollen Lymph Nodes,When did it start worsening (Variant 2944)?,Progression,Numeric,Medium,GI,No
Swollen Lymph Nodes,Any associated symptoms present (Variant 2945)?,Associated Symptom,Yes/No,High,Endocrine,Yes
Swollen Lymph Nodes,Triggered by activity (Variant 2946)?,Trigger,Yes/No,Low,MSK,No
Swollen Lymph Nodes,Localized or widespread (Variant 2947)?,Location,Localized/Diffuse,Medium,Dermatology,Yes
Swollen Lymph Nodes,Constant or intermittent (Variant 2948)?,Pattern,Constant/Intermittent,High,Emergency,No
Swollen Lymph Nodes,Does it affect daily activities (Variant 2949)?,Impact,Yes/No,Low,General,Yes
Swollen Lymph Nodes,Any emergency warning signs (Variant 2950)?,Emergency Flag,Yes/No,Medium,Respiratory,No
Dry Mouth,Since how many days (Variant 2951)?,Duration,Numeric,High,Cardiac,Yes
Dry Mouth,"Mild, moderate or severe (Variant 2952)?",Severity,Mild/Moderate/Severe,Low,Neurology,No
Dry Mouth,How frequently does it occur (Variant 2953)?,Frequency,Occasional/Frequent,Medium,GI,Yes
Dry Mouth,When did it start worsening (Variant 2954)?,Progression,Numeric,High,Endocrine,No
Dry Mouth,Any associated symptoms present (Variant 2955)?,Associated Symptom,Yes/No,Low,MSK,Yes
Dry Mouth,Triggered by activity (Variant 2956)?,Trigger,Yes/No,Medium,Dermatology,No
Dry Mouth,Localized or widespread (Variant 2957)?,Location,Localized/Diffuse,High,Emergency,Yes
Dry Mouth,Constant or intermittent (Variant 2958)?,Pattern,Constant/Intermittent,Low,General,No
Dry Mouth,Does it affect daily activities (Variant 2959)?,Impact,Yes/No,Medium,Respiratory,Yes
Dry Mouth,Any emergency warning signs (Variant 2960)?,Emergency Flag,Yes/No,High,Cardiac,No
Mouth Ulcers,Since how many days (Variant 2961)?,Duration,Numeric,Low,Neurology,Yes
Mouth Ulcers,"Mild, moderate or severe (Variant 2962)?",Severity,Mild/Moderate/Severe,Medium,GI,No
Mouth Ulcers,How frequently does it occur (Variant 2963)?,Frequency,Occasional/Frequent,High,Endocrine,Yes
Mouth Ulcers,When did it start worsening (Variant 2964)?,Progression,Numeric,Low,MSK,No
Mouth Ulcers,Any associated symptoms present (Variant 2965)?,Associated Symptom,Yes/No,Medium,Dermatology,Yes
Mouth Ulcers,Triggered by activity (Variant 2966)?,Trigger,Yes/No,High,Emergency,No
Mouth Ulcers,Localized or widespread (Variant 2967)?,Location,Localized/Diffuse,Low,General,Yes
Mouth Ulcers,Constant or intermittent (Variant 2968)?,Pattern,Constant/Intermittent,Medium,Respiratory,No
Mouth Ulcers,Does it affect daily activities (Variant 2969)?,Impact,Yes/No,High,Cardiac,Yes
Mouth Ulcers,Any emergency warning signs (Variant 2970)?,Emergency Flag,Yes/No,Low,Neurology,No
Difficulty Swallowing,Since how many days (Variant 2971)?,Duration,Numeric,Medium,GI,Yes
Difficulty Swallowing,"Mild, moderate or severe (Variant 2972)?",Severity,Mild/Moderate/Severe,High,Endocrine,No
Difficulty Swallowing,How frequently does it occur (Variant 2973)?,Frequency,Occasional/Frequent,Low,MSK,Yes
Difficulty Swallowing,When did it start worsening (Variant 2974)?,Progression,Numeric,Medium,Dermatology,No
Difficulty Swallowing,Any associated symptoms present (Variant 2975)?,Associated Symptom,Yes/No,High,Emergency,Yes
Difficulty Swallowing,Triggered by activity (Variant 2976)?,Trigger,Yes/No,Low,General,No
Difficulty Swallowing,Localized or widespread (Variant 2977)?,Location,Localized/Diffuse,Medium,Respiratory,Yes
Difficulty Swallowing,Constant or intermittent (Variant 2978)?,Pattern,Constant/Intermittent,High,Cardiac,No
Difficulty Swallowing,Does it affect daily activities (Variant 2979)?,Impact,Yes/No,Low,Neurology,Yes
Difficulty Swallowing,Any emergency warning signs (Variant 2980)?,Emergency Flag,Yes/No,Medium,GI,No
Cyanosis,Since how many days (Variant 2981)?,Duration,Numeric,High,Endocrine,Yes
Cyanosis,"Mild, moderate or severe (Variant 2982)?",Severity,Mild/Moderate/Severe,Low,MSK,No
Cyanosis,How frequently does it occur (Variant 2983)?,Frequency,Occasional/Frequent,Medium,Dermatology,Yes
Cyanosis,When did it start worsening (Variant 2984)?,Progression,Numeric,High,Emergency,No
Cyanosis,Any associated symptoms present (Variant 2985)?,Associated Symptom,Yes/No,Low,General,Yes
Cyanosis,Triggered by activity (Variant 2986)?,Trigger,Yes/No,Medium,Respiratory,No
Cyanosis,Localized or widespread (Variant 2987)?,Location,Localized/Diffuse,High,Cardiac,Yes
Cyanosis,Constant or intermittent (Variant 2988)?,Pattern,Constant/Intermittent,Low,Neurology,No
Cyanosis,Does it affect daily activities (Variant 2989)?,Impact,Yes/No,Medium,GI,Yes
Cyanosis,Any emergency warning signs (Variant 2990)?,Emergency Flag,Yes/No,High,Endocrine,No
Severe Bleeding,Since how many days (Variant 2991)?,Duration,Numeric,Low,MSK,Yes
Severe Bleeding,"Mild, moderate or severe (Variant 2992)?",Severity,Mild/Moderate/Severe,Medium,Dermatology,No
Severe Bleeding,How frequently does it occur (Variant 2993)?,Frequency,Occasional/Frequent,High,Emergency,Yes
Severe Bleeding,When did it start worsening (Variant 2994)?,Progression,Numeric,Low,General,No
Severe Bleeding,Any associated symptoms present (Variant 2995)?,Associated Symptom,Yes/No,Medium,Respiratory,Yes
Severe Bleeding,Triggered by activity (Variant 2996)?,Trigger,Yes/No,High,Cardiac,No
Severe Bleeding,Localized or widespread (Variant 2997)?,Location,Localized/Diffuse,Low,Neurology,Yes
Severe Bleeding,Constant or intermittent (Variant 2998)?,Pattern,Constant/Intermittent,Medium,GI,No
Severe Bleeding,Does it affect daily activities (Variant 2999)?,Impact,Yes/No,High,Endocrine,Yes
Severe Bleeding,Any emergency warning signs (Variant 3000)?,Emergency Flag,Yes/No,Low,MSK,No
Fever,Since how many days (Variant 3001)?,Duration,Numeric,Medium,Respiratory,Yes
Fever,"Mild, moderate or severe (Variant 3002)?",Severity,Mild/Moderate/Severe,High,Cardiac,No
Fever,How frequently does it occur (Variant 3003)?,Frequency,Occasional/Frequent,Low,Neurology,Yes
Fever,When did it start worsening (Variant 3004)?,Progression,Numeric,Medium,GI,No
Fever,Any associated symptoms present (Variant 3005)?,Associated Symptom,Yes/No,High,Endocrine,Yes
Fever,Triggered by activity (Variant 3006)?,Trigger,Yes/No,Low,MSK,No
Fever,Localized or widespread (Variant 3007)?,Location,Localized/Diffuse,Medium,Dermatology,Yes
Fever,Constant or intermittent (Variant 3008)?,Pattern,Constant/Intermittent,High,Emergency,No
Fever,Does it affect daily activities (Variant 3009)?,Impact,Yes/No,Low,General,Yes
Fever,Any emergency warning signs (Variant 3010)?,Emergency Flag,Yes/No,Medium,Respiratory,No
Cough,Since how many days (Variant 3011)?,Duration,Numeric,High,Cardiac,Yes
Cough,"Mild, moderate or severe (Variant 3012)?",Severity,Mild/Moderate/Severe,Low,Neurology,No
Cough,How frequently does it occur (Variant 3013)?,Frequency,Occasional/Frequent,Medium,GI,Yes
Cough,When did it start worsening (Variant 3014)?,Progression,Numeric,High,Endocrine,No
Cough,Any associated symptoms present (Variant 3015)?,Associated Symptom,Yes/No,Low,MSK,Yes
Cough,Triggered by activity (Variant 3016)?,Trigger,Yes/No,Medium,Dermatology,No
Cough,Localized or widespread (Variant 3017)?,Location,Localized/Diffuse,High,Emergency,Yes
Cough,Constant or intermittent (Variant 3018)?,Pattern,Constant/Intermittent,Low,General,No
Cough,Does it affect daily activities (Variant 3019)?,Impact,Yes/No,Medium,Respiratory,Yes
Cough,Any emergency warning signs (Variant 3020)?,Emergency Flag,Yes/No,High,Cardiac,No
Fatigue,Since how many days (Variant 3021)?,Duration,Numeric,Low,Neurology,Yes
Fatigue,"Mild, moderate or severe (Variant 3022)?",Severity,Mild/Moderate/Severe,Medium,GI,No
Fatigue,How frequently does it occur (Variant 3023)?,Frequency,Occasional/Frequent,High,Endocrine,Yes
Fatigue,When did it start worsening (Variant 3024)?,Progression,Numeric,Low,MSK,No
Fatigue,Any associated symptoms present (Variant 3025)?,Associated Symptom,Yes/No,Medium,Dermatology,Yes
Fatigue,Triggered by activity (Variant 3026)?,Trigger,Yes/No,High,Emergency,No
Fatigue,Localized or widespread (Variant 3027)?,Location,Localized/Diffuse,Low,General,Yes
Fatigue,Constant or intermittent (Variant 3028)?,Pattern,Constant/Intermittent,Medium,Respiratory,No
Fatigue,Does it affect daily activities (Variant 3029)?,Impact,Yes/No,High,Cardiac,Yes
Fatigue,Any emergency warning signs (Variant 3030)?,Emergency Flag,Yes/No,Low,Neurology,No
Breathlessness,Since how many days (Variant 3031)?,Duration,Numeric,Medium,GI,Yes
Breathlessness,"Mild, moderate or severe (Variant 3032)?",Severity,Mild/Moderate/Severe,High,Endocrine,No
Breathlessness,How frequently does it occur (Variant 3033)?,Frequency,Occasional/Frequent,Low,MSK,Yes
Breathlessness,When did it start worsening (Variant 3034)?,Progression,Numeric,Medium,Dermatology,No
Breathlessness,Any associated symptoms present (Variant 3035)?,Associated Symptom,Yes/No,High,Emergency,Yes
Breathlessness,Triggered by activity (Variant 3036)?,Trigger,Yes/No,Low,General,No
Breathlessness,Localized or widespread (Variant 3037)?,Location,Localized/Diffuse,Medium,Respiratory,Yes
Breathlessness,Constant or intermittent (Variant 3038)?,Pattern,Constant/Intermittent,High,Cardiac,No
Breathlessness,Does it affect daily activities (Variant 3039)?,Impact,Yes/No,Low,Neurology,Yes
Breathlessness,Any emergency warning signs (Variant 3040)?,Emergency Flag,Yes/No,Medium,GI,No
Chest Pain,Since how many days (Variant 3041)?,Duration,Numeric,High,Endocrine,Yes
Chest Pain,"Mild, moderate or severe (Variant 3042)?",Severity,Mild/Moderate/Severe,Low,MSK,No
Chest Pain,How frequently does it occur (Variant 3043)?,Frequency,Occasional/Frequent,Medium,Dermatology,Yes
Chest Pain,When did it start worsening (Variant 3044)?,Progression,Numeric,High,Emergency,No
