id,disease_name,category,severity,target_demographic,symptoms,description,medical_advice
504,Insomnia,Mental Health,Mild,Elderly,"difficulty falling asleep,  waking up frequently",Mild case of Insomnia. A sleep disorder characterized by persistent problems falling and staying asleep. Target demographic: Elderly.,Seek immediate medical attention.
505,Strep Throat,Respiratory,Moderate,General,"throat pain, fever, swollen lymph nodes, white patches on tonsils",Moderate case of Strep Throat. A bacterial infection that causes inflammation and pain in the throat. Target demographic: General.,Prescription medication might be required.
506,Eczema,Skin,Mild,Adult,"dry,  itchy skin","Mild case of Eczema. A condition where patches of skin become inflamed, itchy, and cracked. Target demographic: Adult.",Maintain good hygiene.
507,Acid Reflux,Digestive,Mild,Female,"heartburn,  chest pain",Mild case of Acid Reflux. A digestive disease where stomach acid irritates the food pipe. Target demographic: Female.,Monitor symptoms closely.
508,Yeast Infection,Reproductive,Moderate,Child,"itching, irritation, vaginal discharge, pain during urination","Moderate case of Yeast Infection. A fungal infection that causes irritation, discharge, and intense itchiness. Target demographic: Child.",Prescription medication might be required.
509,Carpal Tunnel,Musculoskeletal,Chronic,Female,"numbness, tingling, weakness in hand",Chronic case of Carpal Tunnel. Pressure on the median nerve causing numbness and tingling in the hand. Target demographic: Female.,Avoid triggers like spicy food or allergens.
510,Osteoarthritis,Musculoskeletal,Moderate,General,"joint pain, stiffness, tenderness, loss of flexibility","Moderate case of Osteoarthritis. The most common form of arthritis, caused by wear and tear of cartilage. Target demographic: General.",Apply ice or heat to the affected area.
511,Fever,General,Chronic,Adult,"elevated body temperature, sweating, chills, headache","Chronic case of Fever. A temporary increase in body temperature, often due to an illness. Target demographic: Adult.",Consult a doctor if symptoms persist for more than 48 hours.
512,Canker Sore,Dental,Severe,Female,"small ulcer in mouth, pain, difficulty eating, fatigue, dehydration","Severe case of Canker Sore. A small, shallow lesion on the soft tissues in your mouth. Target demographic: Female.",Seek immediate medical attention.
513,Bronchitis,Respiratory,Mild,Female,"cough with mucus,  fatigue",Mild case of Bronchitis. Inflammation of the bronchial tubes. Target demographic: Female.,Apply ice or heat to the affected area.
514,Hemorrhoids,Digestive,Chronic,Female,"rectal bleeding, itching, pain, swelling",Chronic case of Hemorrhoids. Swollen veins in the lowest part of your rectum and anus. Target demographic: Female.,Home remedies can alleviate symptoms.
515,Contact Dermatitis,Skin,Mild,Adult,"red rash,  itching",Mild case of Contact Dermatitis. A skin reaction caused by contact with an allergen or irritant. Target demographic: Adult.,Consult a doctor if symptoms persist for more than 48 hours.
516,Urinary Tract Infection,Urinary,Severe,General,"burning during urination, frequent urge to urinate, cloudy urine, fatigue, dehydration",Severe case of Urinary Tract Infection. An infection in any part of the urinary system. Target demographic: General.,Rest and hydration recommended.
517,Anxiety,Mental Health,Moderate,Male,"nervousness, rapid heart rate, trembling, sweating","Moderate case of Anxiety. Intense, excessive, and persistent worry and fear. Target demographic: Male.",Maintain good hygiene.
518,Ear Infection,Ears,Severe,Female,"ear pain, difficulty hearing, drainage from ear, fatigue, dehydration",Severe case of Ear Infection. A bacterial or viral infection that affects the middle ear. Target demographic: Female.,Over-the-counter medication may help.
519,Heartburn,Digestive,Severe,Child,"burning pain in chest, sour taste in mouth, pain worsening when lying down, fatigue, dehydration","Severe case of Heartburn. A burning sensation in the chest, just behind the breastbone. Target demographic: Child.",Monitor symptoms closely.
520,Gingivitis,Dental,Mild,Female,"swollen gums,  bleeding gums",Mild case of Gingivitis. A common and mild form of gum disease that causes irritation. Target demographic: Female.,Prescription medication might be required.
521,Insomnia,Mental Health,Mild,Female,"difficulty falling asleep,  waking up frequently",Mild case of Insomnia. A sleep disorder characterized by persistent problems falling and staying asleep. Target demographic: Female.,Avoid triggers like spicy food or allergens.
522,Menstrual Cramps,Reproductive,Severe,Child,"throbbing pain in lower abdomen, nausea, headache, fatigue, dehydration",Severe case of Menstrual Cramps. Pain in the lower abdomen that occurs during a menstrual period. Target demographic: Child.,Consult a doctor if symptoms persist for more than 48 hours.
523,Migraine,Neurological,Moderate,Child,"severe headache, nausea, sensitivity to light, blurred vision",Moderate case of Migraine. A neurological condition characterized by intense headaches. Target demographic: Child.,Over-the-counter medication may help.
524,Indigestion,Digestive,Mild,Child,"upper abdominal pain,  bloating",Mild case of Indigestion. Discomfort in your upper abdomen often caused by eating too much or too fast. Target demographic: Child.,Over-the-counter medication may help.
525,Acid Reflux,Digestive,Mild,Female,"heartburn,  chest pain",Mild case of Acid Reflux. A digestive disease where stomach acid irritates the food pipe. Target demographic: Female.,Maintain good hygiene.
526,Migraine,Neurological,Severe,Adult,"severe headache, nausea, sensitivity to light, blurred vision, fatigue, dehydration",Severe case of Migraine. A neurological condition characterized by intense headaches. Target demographic: Adult.,Home remedies can alleviate symptoms.
527,Fever,General,Moderate,Elderly,"elevated body temperature, sweating, chills, headache","Moderate case of Fever. A temporary increase in body temperature, often due to an illness. Target demographic: Elderly.",Maintain good hygiene.
528,Common Cold,Respiratory,Moderate,Adult,"runny nose, sore throat, coughing, sneezing",Moderate case of Common Cold. A viral infection of the upper respiratory tract. Target demographic: Adult.,Home remedies can alleviate symptoms.
529,Athlete's Foot,Skin,Mild,Child,"scaly rash,  itching",Mild case of Athlete's Foot. A fungal infection that usually begins between the toes. Target demographic: Child.,Consult a doctor if symptoms persist for more than 48 hours.
530,Tennis Elbow,Musculoskeletal,Severe,Male,"pain on outer elbow, weak grip, burning sensation, fatigue, dehydration","Severe case of Tennis Elbow. Painful condition caused by overuse of arm, forearm, and hand muscles. Target demographic: Male.",Rest and hydration recommended.
531,Tension Headache,Neurological,Moderate,Adult,"dull head pain, pressure across forehead, scalp tenderness","Moderate case of Tension Headache. The most common type of headache, often stress-related. Target demographic: Adult.",Prescription medication might be required.
532,Menstrual Cramps,Reproductive,Acute,Adult,"throbbing pain in lower abdomen, nausea, headache",Acute case of Menstrual Cramps. Pain in the lower abdomen that occurs during a menstrual period. Target demographic: Adult.,Prescription medication might be required.
533,Jock Itch,Skin,Severe,Female,"red, itchy rash in the groin area, burning sensation, fatigue, dehydration","Severe case of Jock Itch. A fungal infection that causes a red, itchy rash in warm, moist areas of the body. Target demographic: Female.",Prescription medication might be required.
534,Toothache,Dental,Moderate,Adult,"tooth pain, swelling around tooth, fever, drainage",Moderate case of Toothache. Pain in or around a tooth caused by various dental problems. Target demographic: Adult.,Maintain good hygiene.
535,Viral Pharyngitis,Respiratory,Severe,Child,"sore throat, scratchy throat, difficulty swallowing, fatigue, dehydration","Severe case of Viral Pharyngitis. Inflammation of the pharynx, usually caused by a viral infection. Target demographic: Child.",Avoid triggers like spicy food or allergens.
536,Influenza,Respiratory,Severe,Adult,"high fever, chills, muscle aches, fatigue, cough, fatigue, dehydration",Severe case of Influenza. A contagious respiratory illness caused by influenza viruses. Target demographic: Adult.,Over-the-counter medication may help.
537,Contact Dermatitis,Skin,Chronic,General,"red rash, itching, dry skin, blisters",Chronic case of Contact Dermatitis. A skin reaction caused by contact with an allergen or irritant. Target demographic: General.,Maintain good hygiene.
538,Laryngitis,Respiratory,Severe,Elderly,"hoarseness, weak voice, sore throat, dry cough, fatigue, dehydration","Severe case of Laryngitis. Inflammation of the voice box (larynx) from overuse, irritation or infection. Target demographic: Elderly.",Rest and hydration recommended.
539,Yeast Infection,Reproductive,Acute,Male,"itching, irritation, vaginal discharge, pain during urination","Acute case of Yeast Infection. A fungal infection that causes irritation, discharge, and intense itchiness. Target demographic: Male.",Apply ice or heat to the affected area.
540,Carpal Tunnel,Musculoskeletal,Mild,General,"numbness,  tingling",Mild case of Carpal Tunnel. Pressure on the median nerve causing numbness and tingling in the hand. Target demographic: General.,Seek immediate medical attention.
541,Sinusitis,Respiratory,Acute,Male,"facial pain, thick nasal discharge, headache, cough",Acute case of Sinusitis. Inflammation or swelling of the tissue lining the sinuses. Target demographic: Male.,Maintain good hygiene.
542,Strep Throat,Respiratory,Mild,Child,"throat pain,  fever",Mild case of Strep Throat. A bacterial infection that causes inflammation and pain in the throat. Target demographic: Child.,Prescription medication might be required.
543,Menstrual Cramps,Reproductive,Severe,General,"throbbing pain in lower abdomen, nausea, headache, fatigue, dehydration",Severe case of Menstrual Cramps. Pain in the lower abdomen that occurs during a menstrual period. Target demographic: General.,Consult a doctor if symptoms persist for more than 48 hours.
544,Hives,Skin,Moderate,General,"red welts, itching, swelling, burning sensation","Moderate case of Hives. A skin reaction that causes itchy welts, often triggered by allergens. Target demographic: General.",Avoid triggers like spicy food or allergens.
545,Ear Infection,Ears,Chronic,Elderly,"ear pain, difficulty hearing, drainage from ear",Chronic case of Ear Infection. A bacterial or viral infection that affects the middle ear. Target demographic: Elderly.,Rest and hydration recommended.
546,Common Cold,Respiratory,Moderate,Female,"runny nose, sore throat, coughing, sneezing",Moderate case of Common Cold. A viral infection of the upper respiratory tract. Target demographic: Female.,Rest and hydration recommended.
547,Ear Infection,Ears,Acute,Adult,"ear pain, difficulty hearing, drainage from ear",Acute case of Ear Infection. A bacterial or viral infection that affects the middle ear. Target demographic: Adult.,Maintain good hygiene.
548,Toothache,Dental,Severe,Elderly,"tooth pain, swelling around tooth, fever, drainage, fatigue, dehydration",Severe case of Toothache. Pain in or around a tooth caused by various dental problems. Target demographic: Elderly.,Prescription medication might be required.
549,Carpal Tunnel,Musculoskeletal,Severe,Adult,"numbness, tingling, weakness in hand, fatigue, dehydration",Severe case of Carpal Tunnel. Pressure on the median nerve causing numbness and tingling in the hand. Target demographic: Adult.,Maintain good hygiene.
550,Viral Pharyngitis,Respiratory,Severe,Adult,"sore throat, scratchy throat, difficulty swallowing, fatigue, dehydration","Severe case of Viral Pharyngitis. Inflammation of the pharynx, usually caused by a viral infection. Target demographic: Adult.",Monitor symptoms closely.
551,Migraine,Neurological,Severe,Elderly,"severe headache, nausea, sensitivity to light, blurred vision, fatigue, dehydration",Severe case of Migraine. A neurological condition characterized by intense headaches. Target demographic: Elderly.,Avoid triggers like spicy food or allergens.
552,Heat Exhaustion,Environmental,Chronic,Elderly,"heavy sweating, faintness, dizziness, fatigue, cool skin",Chronic case of Heat Exhaustion. A condition where the body overheats due to exposure to high temperatures. Target demographic: Elderly.,Seek immediate medical attention.
553,Carpal Tunnel,Musculoskeletal,Chronic,Male,"numbness, tingling, weakness in hand",Chronic case of Carpal Tunnel. Pressure on the median nerve causing numbness and tingling in the hand. Target demographic: Male.,Home remedies can alleviate symptoms.
554,Gastroenteritis,Digestive,Moderate,Child,"diarrhea, stomach cramps, nausea, vomiting","Moderate case of Gastroenteritis. Inflammation of the stomach and intestines, often called stomach flu. Target demographic: Child.",Over-the-counter medication may help.
555,Pink Eye,Eyes,Mild,Child,"redness,  itching",Mild case of Pink Eye. Inflammation or infection of the transparent membrane lining the eyelid. Target demographic: Child.,Prescription medication might be required.
556,Hemorrhoids,Digestive,Acute,Elderly,"rectal bleeding, itching, pain, swelling",Acute case of Hemorrhoids. Swollen veins in the lowest part of your rectum and anus. Target demographic: Elderly.,Monitor symptoms closely.
557,Fever,General,Acute,Adult,"elevated body temperature, sweating, chills, headache","Acute case of Fever. A temporary increase in body temperature, often due to an illness. Target demographic: Adult.",Consult a doctor if symptoms persist for more than 48 hours.
558,Indigestion,Digestive,Mild,Child,"upper abdominal pain,  bloating",Mild case of Indigestion. Discomfort in your upper abdomen often caused by eating too much or too fast. Target demographic: Child.,Consult a doctor if symptoms persist for more than 48 hours.
559,Nausea,Digestive,Severe,Female,"feeling sick to stomach, urge to vomit, dizziness, fatigue, dehydration",Severe case of Nausea. An uncomfortable sensation in the stomach that leads to an urge to vomit. Target demographic: Female.,Rest and hydration recommended.
560,Carpal Tunnel,Musculoskeletal,Moderate,Elderly,"numbness, tingling, weakness in hand",Moderate case of Carpal Tunnel. Pressure on the median nerve causing numbness and tingling in the hand. Target demographic: Elderly.,Maintain good hygiene.
561,Sinusitis,Respiratory,Mild,Child,"facial pain,  thick nasal discharge",Mild case of Sinusitis. Inflammation or swelling of the tissue lining the sinuses. Target demographic: Child.,Rest and hydration recommended.
562,Bunion,Musculoskeletal,Acute,Male,"bump on big toe joint, redness, pain, swelling",Acute case of Bunion. A bony bump that forms on the joint at the base of your big toe. Target demographic: Male.,Avoid triggers like spicy food or allergens.
563,Bronchitis,Respiratory,Acute,Female,"cough with mucus, fatigue, shortness of breath, chest discomfort",Acute case of Bronchitis. Inflammation of the bronchial tubes. Target demographic: Female.,Over-the-counter medication may help.
564,Carpal Tunnel,Musculoskeletal,Moderate,Male,"numbness, tingling, weakness in hand",Moderate case of Carpal Tunnel. Pressure on the median nerve causing numbness and tingling in the hand. Target demographic: Male.,Consult a doctor if symptoms persist for more than 48 hours.
565,Allergic Rhinitis,Immune,Chronic,Elderly,"sneezing, runny nose, itchy eyes, congestion",Chronic case of Allergic Rhinitis. An allergic response to allergens like pollen or dust. Target demographic: Elderly.,Maintain good hygiene.
566,Urinary Tract Infection,Urinary,Severe,General,"burning during urination, frequent urge to urinate, cloudy urine, fatigue, dehydration",Severe case of Urinary Tract Infection. An infection in any part of the urinary system. Target demographic: General.,Consult a doctor if symptoms persist for more than 48 hours.
567,Gingivitis,Dental,Chronic,Female,"swollen gums, bleeding gums, bad breath, receding gums",Chronic case of Gingivitis. A common and mild form of gum disease that causes irritation. Target demographic: Female.,Apply ice or heat to the affected area.
568,Influenza B,Respiratory,Moderate,General,"fever, chills, muscle aches, cough, fatigue","Moderate case of Influenza B. A specific strain of the flu virus, typically appearing in seasonal outbreaks. Target demographic: General.",Prescription medication might be required.
569,Influenza B,Respiratory,Chronic,Child,"fever, chills, muscle aches, cough, fatigue","Chronic case of Influenza B. A specific strain of the flu virus, typically appearing in seasonal outbreaks. Target demographic: Child.",Prescription medication might be required.
570,Type 2 Diabetes,Metabolic,Chronic,Male,"increased thirst, frequent urination, hunger, fatigue",Chronic case of Type 2 Diabetes. A chronic condition that affects the way the body processes blood sugar. Target demographic: Male.,Avoid triggers like spicy food or allergens.
571,Pink Eye,Eyes,Moderate,Adult,"redness, itching, discharge, tearing",Moderate case of Pink Eye. Inflammation or infection of the transparent membrane lining the eyelid. Target demographic: Adult.,Seek immediate medical attention.
572,Laryngitis,Respiratory,Chronic,Adult,"hoarseness, weak voice, sore throat, dry cough","Chronic case of Laryngitis. Inflammation of the voice box (larynx) from overuse, irritation or infection. Target demographic: Adult.",Monitor symptoms closely.
573,Pink Eye,Eyes,Moderate,Male,"redness, itching, discharge, tearing",Moderate case of Pink Eye. Inflammation or infection of the transparent membrane lining the eyelid. Target demographic: Male.,Seek immediate medical attention.
574,Heartburn,Digestive,Moderate,Adult,"burning pain in chest, sour taste in mouth, pain worsening when lying down","Moderate case of Heartburn. A burning sensation in the chest, just behind the breastbone. Target demographic: Adult.",Rest and hydration recommended.
575,Type 2 Diabetes,Metabolic,Severe,Elderly,"increased thirst, frequent urination, hunger, fatigue, fatigue, dehydration",Severe case of Type 2 Diabetes. A chronic condition that affects the way the body processes blood sugar. Target demographic: Elderly.,Over-the-counter medication may help.
576,Heat Exhaustion,Environmental,Moderate,General,"heavy sweating, faintness, dizziness, fatigue, cool skin",Moderate case of Heat Exhaustion. A condition where the body overheats due to exposure to high temperatures. Target demographic: General.,Avoid triggers like spicy food or allergens.
577,Hypertension,Cardiovascular,Mild,Male,"headaches,  shortness of breath",Mild case of Hypertension. High blood pressure is a common condition where blood pressure is elevated. Target demographic: Male.,Maintain good hygiene.
578,Contact Dermatitis,Skin,Moderate,Male,"red rash, itching, dry skin, blisters",Moderate case of Contact Dermatitis. A skin reaction caused by contact with an allergen or irritant. Target demographic: Male.,Prescription medication might be required.
579,Menstrual Cramps,Reproductive,Acute,Elderly,"throbbing pain in lower abdomen, nausea, headache",Acute case of Menstrual Cramps. Pain in the lower abdomen that occurs during a menstrual period. Target demographic: Elderly.,Prescription medication might be required.
580,Canker Sore,Dental,Chronic,Child,"small ulcer in mouth, pain, difficulty eating","Chronic case of Canker Sore. A small, shallow lesion on the soft tissues in your mouth. Target demographic: Child.",Seek immediate medical attention.
581,Influenza B,Respiratory,Chronic,General,"fever, chills, muscle aches, cough, fatigue","Chronic case of Influenza B. A specific strain of the flu virus, typically appearing in seasonal outbreaks. Target demographic: General.",Avoid triggers like spicy food or allergens.
582,Tension Headache,Neurological,Mild,Female,"dull head pain,  pressure across forehead","Mild case of Tension Headache. The most common type of headache, often stress-related. Target demographic: Female.",Maintain good hygiene.
583,Hives,Skin,Moderate,Male,"red welts, itching, swelling, burning sensation","Moderate case of Hives. A skin reaction that causes itchy welts, often triggered by allergens. Target demographic: Male.",Rest and hydration recommended.
584,Type 2 Diabetes,Metabolic,Chronic,Child,"increased thirst, frequent urination, hunger, fatigue",Chronic case of Type 2 Diabetes. A chronic condition that affects the way the body processes blood sugar. Target demographic: Child.,Home remedies can alleviate symptoms.
585,Type 2 Diabetes,Metabolic,Moderate,Child,"increased thirst, frequent urination, hunger, fatigue",Moderate case of Type 2 Diabetes. A chronic condition that affects the way the body processes blood sugar. Target demographic: Child.,Apply ice or heat to the affected area.
586,Allergic Rhinitis,Immune,Severe,Elderly,"sneezing, runny nose, itchy eyes, congestion, fatigue, dehydration",Severe case of Allergic Rhinitis. An allergic response to allergens like pollen or dust. Target demographic: Elderly.,Consult a doctor if symptoms persist for more than 48 hours.
587,Allergic Rhinitis,Immune,Chronic,Male,"sneezing, runny nose, itchy eyes, congestion",Chronic case of Allergic Rhinitis. An allergic response to allergens like pollen or dust. Target demographic: Male.,Home remedies can alleviate symptoms.
588,Hives,Skin,Mild,General,"red welts,  itching","Mild case of Hives. A skin reaction that causes itchy welts, often triggered by allergens. Target demographic: General.",Apply ice or heat to the affected area.
589,Asthma,Respiratory,Chronic,Adult,"wheezing, shortness of breath, chest tightness, coughing",Chronic case of Asthma. A condition in which airways narrow and swell and may produce extra mucus. Target demographic: Adult.,Home remedies can alleviate symptoms.
590,Common Cold,Respiratory,Moderate,Male,"runny nose, sore throat, coughing, sneezing",Moderate case of Common Cold. A viral infection of the upper respiratory tract. Target demographic: Male.,Avoid triggers like spicy food or allergens.
591,Common Cold,Respiratory,Acute,Child,"runny nose, sore throat, coughing, sneezing",Acute case of Common Cold. A viral infection of the upper respiratory tract. Target demographic: Child.,Rest and hydration recommended.
592,Allergic Rhinitis,Immune,Severe,Male,"sneezing, runny nose, itchy eyes, congestion, fatigue, dehydration",Severe case of Allergic Rhinitis. An allergic response to allergens like pollen or dust. Target demographic: Male.,Over-the-counter medication may help.
593,Influenza,Respiratory,Moderate,Female,"high fever, chills, muscle aches, fatigue, cough",Moderate case of Influenza. A contagious respiratory illness caused by influenza viruses. Target demographic: Female.,Monitor symptoms closely.
594,Carpal Tunnel,Musculoskeletal,Mild,Adult,"numbness,  tingling",Mild case of Carpal Tunnel. Pressure on the median nerve causing numbness and tingling in the hand. Target demographic: Adult.,Avoid triggers like spicy food or allergens.
595,Acid Reflux,Digestive,Mild,Male,"heartburn,  chest pain",Mild case of Acid Reflux. A digestive disease where stomach acid irritates the food pipe. Target demographic: Male.,Avoid triggers like spicy food or allergens.
596,Heartburn,Digestive,Acute,Adult,"burning pain in chest, sour taste in mouth, pain worsening when lying down","Acute case of Heartburn. A burning sensation in the chest, just behind the breastbone. Target demographic: Adult.",Apply ice or heat to the affected area.
597,Migraine,Neurological,Severe,General,"severe headache, nausea, sensitivity to light, blurred vision, fatigue, dehydration",Severe case of Migraine. A neurological condition characterized by intense headaches. Target demographic: General.,Maintain good hygiene.
598,Sunburn,Skin,Chronic,Female,"red skin, pain, swelling, blisters",Chronic case of Sunburn. Skin damage caused by ultraviolet (UV) rays from the sun. Target demographic: Female.,Home remedies can alleviate symptoms.
599,Sinusitis,Respiratory,Chronic,Child,"facial pain, thick nasal discharge, headache, cough",Chronic case of Sinusitis. Inflammation or swelling of the tissue lining the sinuses. Target demographic: Child.,Maintain good hygiene.
600,Fever,General,Chronic,General,"elevated body temperature, sweating, chills, headache","Chronic case of Fever. A temporary increase in body temperature, often due to an illness. Target demographic: General.",Over-the-counter medication may help.
601,Hives,Skin,Mild,General,"red welts,  itching","Mild case of Hives. A skin reaction that causes itchy welts, often triggered by allergens. Target demographic: General.",Over-the-counter medication may help.
602,Osteoarthritis,Musculoskeletal,Moderate,General,"joint pain, stiffness, tenderness, loss of flexibility","Moderate case of Osteoarthritis. The most common form of arthritis, caused by wear and tear of cartilage. Target demographic: General.",Maintain good hygiene.
603,Insomnia,Mental Health,Severe,General,"difficulty falling asleep, waking up frequently, daytime tiredness, fatigue, dehydration",Severe case of Insomnia. A sleep disorder characterized by persistent problems falling and staying asleep. Target demographic: General.,Maintain good hygiene.
604,Contact Dermatitis,Skin,Mild,Adult,"red rash,  itching",Mild case of Contact Dermatitis. A skin reaction caused by contact with an allergen or irritant. Target demographic: Adult.,Home remedies can alleviate symptoms.
605,Insomnia,Mental Health,Mild,Elderly,"difficulty falling asleep,  waking up frequently",Mild case of Insomnia. A sleep disorder characterized by persistent problems falling and staying asleep. Target demographic: Elderly.,Rest and hydration recommended.
606,Gingivitis,Dental,Moderate,Female,"swollen gums, bleeding gums, bad breath, receding gums",Moderate case of Gingivitis. A common and mild form of gum disease that causes irritation. Target demographic: Female.,Consult a doctor if symptoms persist for more than 48 hours.
607,Bronchitis,Respiratory,Acute,Child,"cough with mucus, fatigue, shortness of breath, chest discomfort",Acute case of Bronchitis. Inflammation of the bronchial tubes. Target demographic: Child.,Avoid triggers like spicy food or allergens.
608,Tension Headache,Neurological,Chronic,Adult,"dull head pain, pressure across forehead, scalp tenderness","Chronic case of Tension Headache. The most common type of headache, often stress-related. Target demographic: Adult.",Maintain good hygiene.
609,Asthma,Respiratory,Acute,Adult,"wheezing, shortness of breath, chest tightness, coughing",Acute case of Asthma. A condition in which airways narrow and swell and may produce extra mucus. Target demographic: Adult.,Consult a doctor if symptoms persist for more than 48 hours.
610,Indigestion,Digestive,Chronic,Adult,"upper abdominal pain, bloating, belching, nausea",Chronic case of Indigestion. Discomfort in your upper abdomen often caused by eating too much or too fast. Target demographic: Adult.,Over-the-counter medication may help.
611,Muscle Strain,Musculoskeletal,Chronic,General,"sudden pain, swelling, muscle weakness, bruising",Chronic case of Muscle Strain. Damage to a muscle or its attaching tendons. Target demographic: General.,Over-the-counter medication may help.
612,Strep Throat,Respiratory,Mild,General,"throat pain,  fever",Mild case of Strep Throat. A bacterial infection that causes inflammation and pain in the throat. Target demographic: General.,Rest and hydration recommended.
613,Gingivitis,Dental,Moderate,Elderly,"swollen gums, bleeding gums, bad breath, receding gums",Moderate case of Gingivitis. A common and mild form of gum disease that causes irritation. Target demographic: Elderly.,Over-the-counter medication may help.
614,Hypertension,Cardiovascular,Mild,Adult,"headaches,  shortness of breath",Mild case of Hypertension. High blood pressure is a common condition where blood pressure is elevated. Target demographic: Adult.,Seek immediate medical attention.
615,Tennis Elbow,Musculoskeletal,Mild,Child,"pain on outer elbow,  weak grip","Mild case of Tennis Elbow. Painful condition caused by overuse of arm, forearm, and hand muscles. Target demographic: Child.",Apply ice or heat to the affected area.
616,Motion Sickness,Neurological,Severe,Elderly,"nausea, vomiting, dizziness, cold sweats, fatigue, dehydration","Severe case of Motion Sickness. A sick feeling triggered by movement from cars, planes, or boats. Target demographic: Elderly.",Home remedies can alleviate symptoms.
617,Heartburn,Digestive,Mild,Child,"burning pain in chest,  sour taste in mouth","Mild case of Heartburn. A burning sensation in the chest, just behind the breastbone. Target demographic: Child.",Prescription medication might be required.
618,Tennis Elbow,Musculoskeletal,Moderate,Female,"pain on outer elbow, weak grip, burning sensation","Moderate case of Tennis Elbow. Painful condition caused by overuse of arm, forearm, and hand muscles. Target demographic: Female.",Consult a doctor if symptoms persist for more than 48 hours.
619,Viral Pharyngitis,Respiratory,Acute,Elderly,"sore throat, scratchy throat, difficulty swallowing","Acute case of Viral Pharyngitis. Inflammation of the pharynx, usually caused by a viral infection. Target demographic: Elderly.",Monitor symptoms closely.
620,Athlete's Foot,Skin,Severe,Elderly,"scaly rash, itching, stinging, blisters on feet, fatigue, dehydration",Severe case of Athlete's Foot. A fungal infection that usually begins between the toes. Target demographic: Elderly.,Home remedies can alleviate symptoms.
621,Menstrual Cramps,Reproductive,Chronic,Male,"throbbing pain in lower abdomen, nausea, headache",Chronic case of Menstrual Cramps. Pain in the lower abdomen that occurs during a menstrual period. Target demographic: Male.,Home remedies can alleviate symptoms.
622,Yeast Infection,Reproductive,Mild,General,"itching,  irritation","Mild case of Yeast Infection. A fungal infection that causes irritation, discharge, and intense itchiness. Target demographic: General.",Monitor symptoms closely.
623,Influenza,Respiratory,Mild,Male,"high fever,  chills",Mild case of Influenza. A contagious respiratory illness caused by influenza viruses. Target demographic: Male.,Consult a doctor if symptoms persist for more than 48 hours.
624,Osteoarthritis,Musculoskeletal,Acute,General,"joint pain, stiffness, tenderness, loss of flexibility","Acute case of Osteoarthritis. The most common form of arthritis, caused by wear and tear of cartilage. Target demographic: General.",Seek immediate medical attention.
625,Contact Dermatitis,Skin,Severe,Adult,"red rash, itching, dry skin, blisters, fatigue, dehydration",Severe case of Contact Dermatitis. A skin reaction caused by contact with an allergen or irritant. Target demographic: Adult.,Monitor symptoms closely.
626,Sunburn,Skin,Moderate,Adult,"red skin, pain, swelling, blisters",Moderate case of Sunburn. Skin damage caused by ultraviolet (UV) rays from the sun. Target demographic: Adult.,Over-the-counter medication may help.
627,Eczema,Skin,Chronic,Elderly,"dry, itchy skin, redness, cracked skin","Chronic case of Eczema. A condition where patches of skin become inflamed, itchy, and cracked. Target demographic: Elderly.",Avoid triggers like spicy food or allergens.
628,Hemorrhoids,Digestive,Mild,Elderly,"rectal bleeding,  itching",Mild case of Hemorrhoids. Swollen veins in the lowest part of your rectum and anus. Target demographic: Elderly.,Avoid triggers like spicy food or allergens.
629,Asthma,Respiratory,Chronic,General,"wheezing, shortness of breath, chest tightness, coughing",Chronic case of Asthma. A condition in which airways narrow and swell and may produce extra mucus. Target demographic: General.,Rest and hydration recommended.
630,Canker Sore,Dental,Moderate,Adult,"small ulcer in mouth, pain, difficulty eating","Moderate case of Canker Sore. A small, shallow lesion on the soft tissues in your mouth. Target demographic: Adult.",Consult a doctor if symptoms persist for more than 48 hours.
631,Anxiety,Mental Health,Moderate,Female,"nervousness, rapid heart rate, trembling, sweating","Moderate case of Anxiety. Intense, excessive, and persistent worry and fear. Target demographic: Female.",Apply ice or heat to the affected area.
632,Urinary Tract Infection,Urinary,Mild,Child,"burning during urination,  frequent urge to urinate",Mild case of Urinary Tract Infection. An infection in any part of the urinary system. Target demographic: Child.,Seek immediate medical attention.
633,Allergic Rhinitis,Immune,Mild,Elderly,"sneezing,  runny nose",Mild case of Allergic Rhinitis. An allergic response to allergens like pollen or dust. Target demographic: Elderly.,Consult a doctor if symptoms persist for more than 48 hours.
634,Eczema,Skin,Moderate,Female,"dry, itchy skin, redness, cracked skin","Moderate case of Eczema. A condition where patches of skin become inflamed, itchy, and cracked. Target demographic: Female.",Apply ice or heat to the affected area.
635,Gastroenteritis,Digestive,Severe,Female,"diarrhea, stomach cramps, nausea, vomiting, fatigue, dehydration","Severe case of Gastroenteritis. Inflammation of the stomach and intestines, often called stomach flu. Target demographic: Female.",Over-the-counter medication may help.
636,Nausea,Digestive,Chronic,Adult,"feeling sick to stomach, urge to vomit, dizziness",Chronic case of Nausea. An uncomfortable sensation in the stomach that leads to an urge to vomit. Target demographic: Adult.,Rest and hydration recommended.
637,Muscle Strain,Musculoskeletal,Acute,Child,"sudden pain, swelling, muscle weakness, bruising",Acute case of Muscle Strain. Damage to a muscle or its attaching tendons. Target demographic: Child.,Home remedies can alleviate symptoms.
638,Ear Infection,Ears,Severe,Child,"ear pain, difficulty hearing, drainage from ear, fatigue, dehydration",Severe case of Ear Infection. A bacterial or viral infection that affects the middle ear. Target demographic: Child.,Prescription medication might be required.
